epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,129.993,0.70967,0.48704,0.86367,0.94093,1,0.98626,0.80961,0.74002,0.51481,0.83844,0.0008714,0.0008714,0.0008714
59,132.335,0.70798,0.47755,0.85717,0.96767,1,0.99095,0.82999,0.69514,0.49483,0.82599,0.0008516,0.0008516,0.0008516
60,134.529,0.70108,0.48586,0.84821,0.97086,1,0.99333,0.83439,0.70179,0.46068,0.82509,0.0008318,0.0008318,0.0008318
61,136.69,0.66404,0.45687,0.85311,0.97334,1,0.99214,0.83357,0.68324,0.41956,0.82551,0.000812,0.000812,0.000812
62,138.788,0.66026,0.44311,0.86408,0.96532,1,0.99167,0.82936,0.69494,0.43295,0.83108,0.0007922,0.0007922,0.0007922
63,140.909,0.65284,0.44357,0.85147,0.96082,1,0.99286,0.84947,0.6951,0.44766,0.82581,0.0007724,0.0007724,0.0007724
64,143.082,0.63534,0.4345,0.83914,0.96892,1,0.99214,0.86985,0.68198,0.44637,0.82196,0.0007526,0.0007526,0.0007526
65,145.249,0.65953,0.42898,0.82875,0.96819,1,0.99095,0.84229,0.68796,0.46839,0.8278,0.0007328,0.0007328,0.0007328
66,147.374,0.60853,0.4389,0.84118,0.94101,1,0.99163,0.85492,0.67993,0.46224,0.82928,0.000713,0.000713,0.000713
67,149.596,0.62166,0.42961,0.84948,0.92993,0.97114,0.98869,0.81767,0.68066,0.52678,0.82775,0.0006932,0.0006932,0.0006932
68,151.785,0.64807,0.45144,0.83819,0.93132,0.99229,0.98869,0.81427,0.69227,0.51206,0.82987,0.0006734,0.0006734,0.0006734
69,153.962,0.64028,0.43183,0.84968,0.95206,1,0.98814,0.80761,0.73404,0.47006,0.84005,0.0006536,0.0006536,0.0006536
70,156.098,0.64798,0.43184,0.84683,0.94767,1,0.98424,0.81562,0.71202,0.46698,0.83383,0.0006338,0.0006338,0.0006338
71,158.25,0.63282,0.43542,0.84915,0.9464,1,0.97964,0.82096,0.69858,0.47524,0.8244,0.000614,0.000614,0.000614
72,160.358,0.6556,0.42392,0.85843,0.9683,1,0.98071,0.80822,0.70294,0.4413,0.82611,0.0005942,0.0005942,0.0005942
73,162.488,0.64439,0.42856,0.84419,0.97331,1,0.97643,0.82312,0.66852,0.43921,0.8231,0.0005744,0.0005744,0.0005744
74,164.622,0.61316,0.433,0.84065,0.97596,0.99029,0.97762,0.81341,0.67527,0.45825,0.82562,0.0005546,0.0005546,0.0005546
75,166.75,0.60789,0.43117,0.85909,0.97055,1,0.9869,0.8399,0.62727,0.41061,0.81878,0.0005348,0.0005348,0.0005348
76,168.921,0.62857,0.42124,0.82921,0.97167,1,0.99,0.84437,0.6595,0.40962,0.82125,0.000515,0.000515,0.000515
77,171.077,0.61791,0.42517,0.84587,0.97616,0.99856,0.99167,0.84186,0.64646,0.40957,0.81768,0.0004952,0.0004952,0.0004952
78,173.199,0.60324,0.40638,0.84137,0.97617,0.99911,0.99095,0.85057,0.65248,0.41391,0.82381,0.0004754,0.0004754,0.0004754
79,175.326,0.57942,0.39996,0.84228,0.97342,1,0.99167,0.8461,0.65286,0.40393,0.82645,0.0004556,0.0004556,0.0004556
